,source,target,2013
0,Aruba,United Kingdom,88.17
1,Aruba,Curaçao,31.66
2,Aruba,Netherlands,144.71
3,Aruba,Colombia,61.73
4,Aruba,Panama,38.58
5,Aruba,United States,646.14
6,Aruba,Venezuela,20.69
7,United Kingdom,Germany,48040.6
8,United Kingdom,Switzerland,71112.26
9,United Kingdom,France,35028.47
10,United Kingdom,China,57587.86
11,United Kingdom,Netherlands,37343.5
12,United Kingdom,United States,54494.35
13,Netherlands,Germany,141981.27
14,Netherlands,United Kingdom,48518.68
15,Netherlands,China,42219.3
16,Netherlands,France,47724.23
17,Netherlands,Italy,26279.44
18,Netherlands,United States,35349.57
19,Netherlands,Belgium,63517.8
20,Colombia,Germany,2206.91
21,Colombia,Panama,3219.26
22,Colombia,China,10362.79
23,Colombia,India,2993.07
24,Colombia,Mexico,5495.96
25,Colombia,Brazil,2590.48
26,Colombia,Spain,2879.04
27,Colombia,United States,16428.42
28,Panama,Mexico,1002.43
29,Panama,Costa Rica,696.27
30,Panama,Singapore,3121.97
31,Panama,China,4842.01
32,Panama,Colombia,1918.9
33,Panama,Free Zones,3622.53
34,Panama,United States,4343.19
35,Panama,Venezuela,1720.96
36,United States,Germany,114338.45
37,United States,Japan,65213.79
38,United States,Canada,300685.61
39,United States,China,440351.8
40,United States,Mexico,226070.23
41,United States,United Kingdom,47339.02
42,Venezuela,"Other Asia, nes",28056.14
43,Venezuela,China,7645.22
44,Venezuela,Mexico,2231.99
45,Venezuela,Brazil,4503.09
46,Venezuela,Colombia,2257.92
47,Venezuela,United States,10487.66
48,Afghanistan,Germany,170.78
49,Afghanistan,China,136.25
50,Afghanistan,India,102.96
51,Afghanistan,Pakistan,889.15
52,Afghanistan,"Iran, Islamic Rep.",42.73
53,Germany,China,100312.73
54,Germany,France,131619.15
55,Germany,Netherlands,90491.65
56,Germany,United Kingdom,94442.69
57,Germany,Italy,61960.34
58,Germany,United States,66571.07
59,China,Japan,150132.59
60,China,"Hong Kong, China",384497.87
61,China,Germany,67342.5
62,China,"Korea, Rep.",91164.95
63,China,China,157540.89
64,China,"Other Asia, nes",156405.13
65,China,United States,153394.86
66,India,United Arab Emirates,33980.43
67,India,"Hong Kong, China",13666.56
68,India,China,51635.44
69,India,Switzerland,24659.31
70,India,Saudi Arabia,36596.59
71,India,United States,22600.34
72,India,Singapore,14189.02
73,Pakistan,Japan,1963.19
74,Pakistan,United Arab Emirates,1775.14
75,Pakistan,China,6626.32
76,Pakistan,Afghanistan,1998.11
77,Pakistan,Kuwait,3948.72
78,Pakistan,United Kingdom,1431.96
79,Pakistan,Saudi Arabia,3847.22
80,Pakistan,United States,3746.25
81,"Iran, Islamic Rep.",United Arab Emirates,3581.87
82,"Iran, Islamic Rep.","Other Asia, nes",55821.24
83,"Iran, Islamic Rep.",China,9772.01
84,"Iran, Islamic Rep.","Korea, Rep.",3942.3
85,"Iran, Islamic Rep.",Iraq,6027.84
86,"Iran, Islamic Rep.",India,4309.36
87,"Iran, Islamic Rep.",Turkey,3605.08
88,Angola,"Other Asia, nes",4007.02
89,Angola,China,2807.56
90,Angola,India,6764.23
91,Angola,"Korea, Rep.",4239.55
92,Angola,Singapore,1402.07
93,Angola,Portugal,4339.2
94,Angola,United States,1678.24
95,Angola,Canada,3305.03
96,"Other Asia, nes",Japan,19114.4
