,source,target,1997
0,Albania,Germany,9.43
1,Albania,Bulgaria,16.65
2,Albania,Croatia,5.78
3,Albania,Greece,163.77
4,Albania,Italy,288.34
5,Albania,Turkey,27.45
6,Albania,Netherlands,7.64
7,Germany,United Kingdom,42298.3
8,Germany,France,52954.91
9,Germany,Netherlands,34503.07
10,Germany,Italy,34994.12
11,Germany,United States,32995.51
12,Bulgaria,Germany,468.95
13,Bulgaria,Greece,207.56
14,Bulgaria,Russian Federation,392.53
15,Bulgaria,Italy,354.02
16,Bulgaria,Turkey,445.17
17,Bulgaria,United States,184.89
18,Croatia,Germany,774.61
19,Croatia,Bosnia and Herzegovina,648.65
20,Croatia,Slovenia,755.47
21,Croatia,Russian Federation,456.64
22,Croatia,Italy,1724.69
23,Croatia,Austria,222.86
24,Greece,Germany,2078.84
25,Greece,United Kingdom,719.64
26,Greece,France,483.89
27,Greece,Netherlands,1671.31
28,Greece,Italy,4540.07
29,Greece,United States,488.81
30,Italy,Germany,38960.09
31,Italy,United Kingdom,16937.98
32,Italy,France,29010.53
33,Italy,Netherlands,12816.35
34,Italy,Spain,12335.59
35,Italy,United States,10376.69
36,Turkey,Germany,5253.43
37,Turkey,United Kingdom,1511.26
38,Turkey,France,2967.21
39,Turkey,Russian Federation,2056.47
40,Turkey,Italy,4463.05
41,Turkey,United States,4329.6
42,Netherlands,Germany,46094.98
43,Netherlands,United Kingdom,17810.64
44,Netherlands,Belgium-Luxembourg,15285.04
45,Netherlands,France,19215.81
46,Netherlands,Italy,11136.95
47,Netherlands,United States,16121.43
48,Andorra,Germany,0.47
49,Andorra,United Kingdom,61.0
50,Andorra,Belgium-Luxembourg,1.63
51,Andorra,France,19.97
52,Andorra,Spain,425.37
53,Andorra,Netherlands,1.23
54,Andorra,United States,49.87
55,United Kingdom,Germany,32585.75
56,United Kingdom,France,26285.85
57,United Kingdom,Netherlands,22000.2
58,United Kingdom,Italy,15622.26
59,United Kingdom,Ireland,15607.03
60,United Kingdom,United States,41156.53
61,Belgium-Luxembourg,Germany,32099.95
62,Belgium-Luxembourg,United Kingdom,16814.71
63,Belgium-Luxembourg,France,29315.23
64,Belgium-Luxembourg,Netherlands,21370.35
65,Belgium-Luxembourg,Italy,8829.64
66,Belgium-Luxembourg,United States,12199.26
67,France,Germany,44978.98
68,France,United Kingdom,28640.76
69,France,Belgium-Luxembourg,21414.29
70,France,Italy,26070.47
71,France,Spain,22763.05
72,France,United States,23358.26
73,Spain,Germany,14219.9
74,Spain,United Kingdom,9298.91
75,Spain,France,19415.67
76,Spain,Italy,11902.0
77,Spain,Portugal,9632.58
78,Spain,United States,7792.52
79,United States,Germany,44191.16
80,United States,Japan,65657.9
81,United States,Canada,150120.42
82,United States,Mexico,71354.75
83,United States,"Korea, Rep.",25066.62
84,United States,China,65811.6
85,United States,United Kingdom,36433.77
86,Argentina,Germany,1653.39
87,Argentina,Chile,1931.58
88,Argentina,China,871.0
89,Argentina,France,1373.08
