,source,target,1993
0,United Arab Emirates,Germany,382.29
1,United Arab Emirates,United Kingdom,494.29
2,United Arab Emirates,Japan,140.22
3,United Arab Emirates,"Hong Kong, China",170.67
4,United Arab Emirates,India,326.84
5,United Arab Emirates,Saudi Arabia,202.71
6,United Arab Emirates,Kuwait,253.26
7,United Arab Emirates,"Iran, Islamic Rep.",909.27
8,United Arab Emirates,United States,555.55
9,Germany,United Kingdom,30423.23
10,Germany,France,46819.12
11,Germany,Netherlands,29246.65
12,Germany,Italy,29132.39
13,Germany,United States,24395.46
14,United Kingdom,Germany,19767.57
15,United Kingdom,Japan,12503.6
16,United Kingdom,France,14932.97
17,United Kingdom,Netherlands,10674.23
18,United Kingdom,Ireland,10254.32
19,United Kingdom,United States,21309.92
20,Japan,"Other Asia, nes",22051.93
21,Japan,"Hong Kong, China",22666.75
22,Japan,Germany,18146.89
23,Japan,"Korea, Rep.",19066.77
24,Japan,China,20437.1
25,Japan,Australia,12216.77
26,Japan,United States,55764.48
27,Japan,Indonesia,12499.51
28,"Hong Kong, China",Japan,6959.52
29,"Hong Kong, China",China,52003.56
30,"Hong Kong, China",Germany,7083.13
31,"Hong Kong, China","Korea, Rep.",6341.43
32,"Hong Kong, China",United Kingdom,4592.95
33,"Hong Kong, China","Other Asia, nes",12154.21
34,"Hong Kong, China",United States,10636.17
35,India,Germany,1539.1
36,India,Japan,1740.82
37,India,"Hong Kong, China",1249.47
38,India,United Kingdom,1379.45
39,India,Belgium-Luxembourg,1873.45
40,India,United States,2682.72
41,Saudi Arabia,Germany,1977.41
42,Saudi Arabia,United Kingdom,3111.47
43,Saudi Arabia,Japan,3558.46
44,Saudi Arabia,"Other Asia, nes",15143.64
45,Saudi Arabia,Australia,502.3
46,Saudi Arabia,Monaco,9345.89
47,Saudi Arabia,Italy,1427.27
48,Saudi Arabia,United States,5801.48
49,United States,Germany,18946.1
50,United States,Japan,47932.75
51,United States,Canada,100188.9
52,United States,Mexico,41602.72
53,United States,China,33673.21
54,United States,United Kingdom,26369.77
55,Argentina,Germany,625.13
56,Argentina,Chile,591.85
57,Argentina,France,738.61
58,Argentina,Brazil,2814.18
59,Argentina,Italy,980.86
60,Argentina,Netherlands,1270.06
61,Argentina,United States,3858.56
62,Chile,Germany,493.1
63,Chile,Japan,1542.89
64,Chile,Brazil,1059.91
65,Chile,Argentina,580.16
66,Chile,United Kingdom,551.92
67,Chile,United States,2477.03
68,Brazil,Germany,1823.71
