,source,target,2010
0,Aruba,United Kingdom,62.95
1,Aruba,Panama,27.59
2,Aruba,Netherlands Antilles,18.97
3,Aruba,Netherlands,120.88
4,Aruba,Colombia,37.01
5,Aruba,United States,535.4
6,Aruba,Venezuela,18.74
7,United Kingdom,Germany,44671.05
8,United Kingdom,France,31649.5
9,United Kingdom,China,61733.67
10,United Kingdom,Netherlands,32130.55
11,United Kingdom,Ireland,25675.54
12,United Kingdom,United States,56611.56
13,Panama,Mexico,716.31
14,Panama,Costa Rica,557.41
15,Panama,Singapore,1733.9
16,Panama,China,4172.71
17,Panama,Colombia,1718.19
18,Panama,"Hong Kong, China",756.39
19,Panama,United States,3422.95
20,Panama,Venezuela,1771.61
21,Panama,Dominican Republic,554.64
22,Netherlands,Germany,119690.61
23,Netherlands,United Kingdom,39323.54
24,Netherlands,China,41097.21
25,Netherlands,France,43089.33
26,Netherlands,Italy,24664.4
27,Netherlands,United States,33216.01
28,Netherlands,Belgium,54730.61
29,Colombia,Germany,1657.63
30,Colombia,China,5477.43
31,Colombia,Mexico,3856.67
32,Colombia,Brazil,2369.64
33,Colombia,Netherlands,1617.22
34,Colombia,United States,10531.81
35,Colombia,Venezuela,1422.88
36,Colombia,Ecuador,1824.54
37,United States,Germany,84129.52
38,United States,Japan,60469.05
39,United States,Canada,249248.67
40,United States,China,382964.82
41,United States,Mexico,163664.58
42,United States,United Kingdom,48328.09
43,Venezuela,"Other Asia, nes",6398.53
44,Venezuela,China,3593.33
45,Venezuela,Mexico,1445.57
46,Venezuela,Brazil,3180.49
47,Venezuela,Colombia,1424.24
48,Venezuela,United States,9866.02
49,Afghanistan,Germany,422.29
50,Afghanistan,Japan,494.37
51,Afghanistan,India,65.36
52,Afghanistan,China,703.85
53,Afghanistan,Pakistan,597.5
54,Afghanistan,Uzbekistan,1087.93
55,Afghanistan,Russian Federation,29.59
56,Afghanistan,Turkey,34.77
57,Afghanistan,"Iran, Islamic Rep.",31.73
58,Germany,France,118330.73
59,Germany,China,103800.35
60,Germany,Netherlands,81730.27
61,Germany,United Kingdom,77278.97
62,Germany,Italy,55460.26
63,Germany,United States,61153.54
64,Japan,United Arab Emirates,29341.04
65,Japan,"Other Asia, nes",52470.98
66,Japan,"Hong Kong, China",42312.42
67,Japan,China,153203.23
68,Japan,"Korea, Rep.",62361.08
69,Japan,Saudi Arabia,35972.01
70,Japan,Australia,45096.68
71,Japan,United States,69114.69
72,India,United Arab Emirates,27412.25
73,India,"Hong Kong, China",9508.28
74,India,China,41249.12
75,India,Switzerland,22197.74
76,India,Saudi Arabia,20374.08
77,India,United States,19096.29
78,India,Singapore,9066.23
79,China,Japan,121043.96
80,China,"Hong Kong, China",218301.36
81,China,Germany,68047.13
82,China,"Korea, Rep.",68766.31
83,China,China,106867.9
84,China,"Other Asia, nes",115733.65
85,China,United States,102734.18
86,Pakistan,United Arab Emirates,1834.91
87,Pakistan,China,5247.71
88,Pakistan,Afghanistan,1684.67
89,Pakistan,Malaysia,2054.75
90,Pakistan,Kuwait,2608.03
91,Pakistan,United Kingdom,1113.87
92,Pakistan,Saudi Arabia,3837.92
93,Pakistan,United States,3674.48
94,Russian Federation,Germany,26601.38
95,Russian Federation,Japan,10259.74
96,Russian Federation,China,38960.93
97,Russian Federation,Belarus,18080.61
98,Russian Federation,Italy,10024.39
99,Russian Federation,Netherlands,53240.89
100,Russian Federation,Ukraine,14002.41
101,Turkey,Germany,11479.07
102,Turkey,Iraq,6036.36
103,Turkey,China,17180.81
104,Turkey,United Kingdom,7235.86
105,Turkey,Russian Federation,21600.64
106,Turkey,France,6054.5
107,Turkey,Italy,10139.89
108,Turkey,United States,12322.79
