,source,target,2002
0,Aruba,United Kingdom,48.19
1,Aruba,Panama,21.62
2,Aruba,Netherlands Antilles,10.5
3,Aruba,Netherlands,36.64
4,Aruba,Colombia,27.85
5,Aruba,Venezuela,23.1
6,Aruba,United States,459.57
7,United Kingdom,Germany,32876.55
8,United Kingdom,France,28342.98
9,United Kingdom,China,19346.0
10,United Kingdom,Netherlands,20824.55
11,United Kingdom,Ireland,23927.79
12,United Kingdom,United States,42761.24
13,Panama,Sweden,46.12
14,Panama,Japan,164.64
15,Panama,Costa Rica,127.65
16,Panama,Honduras,33.56
17,Panama,Colombia,179.76
18,Panama,United States,1041.08
19,Panama,Belgium,33.31
20,Netherlands,Germany,53348.2
21,Netherlands,United Kingdom,24116.27
22,Netherlands,France,22107.63
23,Netherlands,Italy,13487.25
24,Netherlands,United States,17232.74
25,Netherlands,Belgium,25964.66
26,Colombia,Japan,619.44
27,Colombia,Germany,331.74
28,Colombia,Mexico,677.99
29,Colombia,Brazil,642.84
30,Colombia,Peru,347.31
31,Colombia,Venezuela,1122.15
32,Colombia,United States,4051.2
33,Colombia,Ecuador,811.56
34,Venezuela,Germany,583.0
35,Venezuela,Netherlands Antilles,1513.04
36,Venezuela,Mexico,536.9
37,Venezuela,Brazil,755.45
38,Venezuela,Colombia,963.72
39,Venezuela,United States,3844.97
40,Venezuela,Dominican Republic,679.62
41,United States,Germany,26628.85
42,United States,Japan,51447.93
43,United States,Canada,160918.22
44,United States,Mexico,97470.19
45,United States,China,133510.39
46,United States,United Kingdom,33204.01
47,Anguila,United Kingdom,0.15
48,Anguila,Netherlands Antilles,0.84
49,Anguila,France,0.3
50,Anguila,Trinidad and Tobago,4.09
51,Anguila,Japan,0.13
52,Anguila,United States,45.63
53,France,Germany,44216.5
54,France,United Kingdom,31330.06
55,France,Italy,27420.24
56,France,Spain,21823.04
57,France,United States,24264.7
58,Trinidad and Tobago,Germany,252.27
59,Trinidad and Tobago,Japan,160.3
60,Trinidad and Tobago,Brazil,209.0
61,Trinidad and Tobago,Jamaica,292.63
62,Trinidad and Tobago,Barbados,178.56
63,Trinidad and Tobago,Venezuela,396.88
64,Trinidad and Tobago,France,175.9
65,Trinidad and Tobago,Spain,92.14
66,Trinidad and Tobago,United States,1242.62
67,Japan,"Other Asia, nes",26240.54
68,Japan,"Hong Kong, China",25402.2
69,Japan,China,61784.47
70,Japan,"Korea, Rep.",28569.76
71,Japan,Australia,14018.22
72,Japan,United States,58808.96
73,Japan,Indonesia,14183.29
74,Albania,Germany,18.31
75,Albania,United Kingdom,46.14
76,Albania,Greece,326.44
77,Albania,"Serbia, FR(Serbia/Montenegro)",7.49
78,Albania,Italy,519.31
79,Albania,Turkey,91.44
80,Albania,United States,5.43
81,Germany,United Kingdom,50056.54
82,Germany,France,63786.53
83,Germany,Netherlands,36352.5
84,Germany,Italy,31455.61
85,Germany,United States,36277.17
86,Greece,Germany,1077.32
87,Greece,"Korea, Rep.",1865.53
88,Greece,France,1778.41
89,Greece,Bulgaria,553.23
90,Greece,United Kingdom,642.77
91,Greece,Russian Federation,2296.79
92,Greece,Italy,3605.52
93,"Serbia, FR(Serbia/Montenegro)",Germany,242.75
94,"Serbia, FR(Serbia/Montenegro)",Bosnia and Herzegovina,331.38
95,"Serbia, FR(Serbia/Montenegro)",Switzerland,170.9
96,"Serbia, FR(Serbia/Montenegro)",North Macedonia,206.87
97,"Serbia, FR(Serbia/Montenegro)",Slovenia,242.33
98,"Serbia, FR(Serbia/Montenegro)",Russian Federation,786.98
99,"Serbia, FR(Serbia/Montenegro)",Italy,653.49
100,"Serbia, FR(Serbia/Montenegro)",Hungary,275.73
101,Italy,Germany,34971.6
102,Italy,United Kingdom,17646.67
103,Italy,France,30944.84
104,Italy,Netherlands,13783.81
105,Italy,Spain,16230.42
106,Italy,United States,11779.01
107,Turkey,Germany,5868.81
108,Turkey,United Kingdom,3024.94
109,Turkey,Russian Federation,3891.72
110,Turkey,France,2134.58
111,Turkey,Italy,4095.43
112,Turkey,United States,3099.47
113,Andorra,Germany,5.99
114,Andorra,Norway,0.79
115,Andorra,Japan,50.02
116,Andorra,France,18.61
117,Andorra,Spain,600.18
118,Andorra,Italy,38.37
119,Andorra,United States,0.57
120,Norway,Germany,7562.02
121,Norway,United Kingdom,11514.65
122,Norway,Denmark,2746.42
123,Norway,France,5053.58
124,Norway,Sweden,5350.88
125,Norway,Netherlands,5701.08
126,Norway,United States,2148.36
127,Spain,Germany,14463.93
128,Spain,United Kingdom,12150.45
129,Spain,France,23943.86
130,Spain,Italy,15016.89
131,Spain,Portugal,12807.32
132,Spain,United States,6819.79
133,United Arab Emirates,Germany,2519.82
134,United Arab Emirates,Japan,10691.88
135,United Arab Emirates,"Other Asia, nes",3548.26
136,United Arab Emirates,India,1067.44
137,United Arab Emirates,China,3038.74
138,United Arab Emirates,"Iran, Islamic Rep.",2441.2
139,United Arab Emirates,United States,2616.88
