,source,target,2018
0,Aruba,Curaçao,9.55
1,Aruba,China,35.07
2,Aruba,Netherlands,8.81
3,Aruba,Colombia,14.91
4,Aruba,Panama,33.6
5,Aruba,United States,713.51
6,China,Vietnam,83876.69
7,China,Japan,147048.75
8,China,"Hong Kong, China",301701.55
9,China,"Korea, Rep.",108756.14
10,China,China,146221.55
11,China,"Other Asia, nes",177614.69
12,China,United States,156015.76
13,Netherlands,Germany,133402.35
14,Netherlands,United Kingdom,47390.15
15,Netherlands,China,46277.1
16,Netherlands,France,46109.58
17,Netherlands,United States,39915.35
18,Netherlands,Belgium,59686.4
19,Colombia,Germany,2173.25
20,Colombia,Panama,3069.74
21,Colombia,China,10544.73
22,Colombia,Mexico,3947.39
23,Colombia,Brazil,2828.2
24,Colombia,United States,13095.64
25,Colombia,Turkey,1691.12
26,Colombia,Ecuador,1851.97
27,Panama,Mexico,891.12
28,Panama,Costa Rica,742.75
29,Panama,Singapore,1690.25
30,Panama,China,4550.8
31,Panama,Colombia,929.12
32,Panama,Free Zones,3146.53
33,Panama,United States,4656.86
34,Panama,Dominican Republic,535.02
35,United States,Germany,128345.62
36,United States,Japan,75226.09
37,United States,Canada,299744.49
38,United States,China,563203.12
39,United States,Mexico,265434.78
40,United States,United Kingdom,66293.66
41,Afghanistan,China,1165.93
42,Afghanistan,India,359.47
43,Afghanistan,Kazakhstan,790.75
44,Afghanistan,Pakistan,1086.85
45,Afghanistan,Uzbekistan,553.95
46,Afghanistan,"Iran, Islamic Rep.",20.27
47,Afghanistan,Turkey,22.02
48,India,United Arab Emirates,28522.55
49,India,"Hong Kong, China",13132.02
50,India,China,90398.34
51,India,Iraq,28444.41
52,India,Saudi Arabia,34342.85
53,India,United States,38904.47
54,India,Singapore,10444.39
55,Kazakhstan,Germany,1639.99
56,Kazakhstan,China,5384.16
57,Kazakhstan,Russian Federation,5279.87
58,Kazakhstan,France,3839.22
59,Kazakhstan,Italy,1485.54
60,Kazakhstan,Netherlands,6186.15
61,Kazakhstan,United States,1278.39
62,Pakistan,United Arab Emirates,8668.64
63,Pakistan,China,14544.69
64,Pakistan,Germany,1310.44
65,Pakistan,Afghanistan,1347.93
66,Pakistan,United Kingdom,1728.64
67,Pakistan,Saudi Arabia,3242.35
68,Pakistan,United States,2946.71
69,Pakistan,Indonesia,2502.37
70,"Iran, Islamic Rep.",Germany,2451.77
71,"Iran, Islamic Rep.",United Arab Emirates,5949.22
72,"Iran, Islamic Rep.","Other Asia, nes",41581.58
73,"Iran, Islamic Rep.",China,10248.56
74,"Iran, Islamic Rep.",Iraq,8960.69
75,"Iran, Islamic Rep.",India,2650.2
76,"Iran, Islamic Rep.",Turkey,2580.42
77,Turkey,Germany,17353.44
78,Turkey,Iraq,9437.01
79,Turkey,China,21506.0
80,Turkey,United Kingdom,11473.93
81,Turkey,Russian Federation,22710.75
82,Turkey,Italy,10047.45
83,Turkey,United States,12995.81
84,Turkey,Special Categories,10980.98
85,Angola,China,2331.09
86,Angola,India,3768.94
87,Angola,Togo,952.38
88,Angola,Singapore,1542.72
89,Angola,South Africa,1148.52
90,Angola,Spain,1235.49
91,Angola,Portugal,2187.65
92,Angola,United States,1371.98
93,Angola,Belgium,1047.07
94,Togo,Cote d'Ivoire,77.81
95,Togo,India,71.81
96,Togo,France,135.37
97,Togo,Burkina Faso,154.84
98,Togo,China,340.13
99,Togo,Netherlands,94.94
100,Togo,Benin,192.95
101,Togo,United States,96.54
102,Togo,Niger,80.16
103,Togo,Nigeria,168.48
104,Singapore,Japan,22149.23
