,source,target,2015
0,Aruba,United Kingdom,44.89
1,Aruba,Curaçao,13.44
2,Aruba,Netherlands,7.76
3,Aruba,Colombia,21.89
4,Aruba,Panama,41.51
5,Aruba,United States,628.66
6,United Kingdom,Germany,46631.52
7,United Kingdom,China,62979.61
8,United Kingdom,Switzerland,34021.57
9,United Kingdom,France,27275.62
10,United Kingdom,Netherlands,47549.0
11,United Kingdom,United States,58066.45
12,Netherlands,Germany,109257.78
13,Netherlands,United Kingdom,40459.47
14,Netherlands,China,35955.09
15,Netherlands,France,36737.56
16,Netherlands,United States,33340.11
17,Netherlands,Belgium,48705.53
18,Colombia,Germany,2267.45
19,Colombia,Panama,2394.17
20,Colombia,China,10032.49
21,Colombia,Mexico,3852.94
22,Colombia,Brazil,2084.31
23,Colombia,Spain,1581.0
24,Colombia,Netherlands,1489.8
25,Colombia,United States,15583.37
26,Panama,Mexico,952.85
27,Panama,Costa Rica,692.34
28,Panama,Singapore,1977.98
29,Panama,China,4698.22
30,Panama,Colombia,1490.16
31,Panama,Free Zones,2520.74
32,Panama,United States,4100.66
33,Panama,Venezuela,746.51
34,United States,Germany,127170.57
35,United States,Japan,62441.25
36,United States,Canada,280582.45
37,United States,China,504028.12
38,United States,Mexico,235745.09
39,United States,United Kingdom,56103.38
40,Afghanistan,India,188.87
41,Afghanistan,Turkmenistan,632.41
42,Afghanistan,Kazakhstan,426.84
43,Afghanistan,China,1044.0
44,Afghanistan,United Arab Emirates,24.44
45,Afghanistan,Pakistan,1346.41
46,Afghanistan,Russian Federation,18.51
47,Afghanistan,"Iran, Islamic Rep.",29.16
48,India,United Arab Emirates,29989.56
49,India,"Hong Kong, China",12146.94
50,India,China,61604.43
51,India,Switzerland,21113.15
52,India,United Kingdom,8891.2
53,India,Saudi Arabia,21353.11
54,India,United States,20463.65
55,Kazakhstan,Germany,1985.98
56,Kazakhstan,China,5087.8
57,Kazakhstan,Russian Federation,4547.5
58,Kazakhstan,France,2681.28
59,Kazakhstan,Italy,1174.45
60,Kazakhstan,Netherlands,4980.96
61,Kazakhstan,United States,1484.35
62,China,Japan,135616.44
63,China,"Hong Kong, China",330462.79
64,China,Germany,69154.83
65,China,"Korea, Rep.",101286.38
66,China,China,143369.31
67,China,"Other Asia, nes",143204.21
68,China,United States,148693.06
69,United Arab Emirates,Germany,11931.54
70,United Arab Emirates,India,17859.65
71,United Arab Emirates,Iraq,6772.24
72,United Arab Emirates,Saudi Arabia,6591.56
73,United Arab Emirates,China,22845.15
74,United Arab Emirates,"Iran, Islamic Rep.",10814.28
75,United Arab Emirates,United States,19334.45
76,Pakistan,United Arab Emirates,5734.69
77,Pakistan,China,11019.01
78,Pakistan,Germany,1146.26
79,Pakistan,Afghanistan,1722.22
80,Pakistan,United Kingdom,1572.8
81,Pakistan,Saudi Arabia,3006.75
82,Pakistan,United States,1916.78
83,Pakistan,Indonesia,2041.77
84,Russian Federation,Germany,15906.24
85,Russian Federation,China,35199.26
86,Russian Federation,Italy,7928.22
87,Russian Federation,Netherlands,40198.5
88,Russian Federation,United States,11489.7
89,Russian Federation,Belarus,7988.8
90,"Iran, Islamic Rep.",United Arab Emirates,4894.46
91,"Iran, Islamic Rep.","Other Asia, nes",25741.58
92,"Iran, Islamic Rep.",China,10473.07
93,"Iran, Islamic Rep.","Korea, Rep.",3679.4
94,"Iran, Islamic Rep.",Iraq,6214.06
95,"Iran, Islamic Rep.",India,2294.62
96,"Iran, Islamic Rep.",Afghanistan,2562.51
97,"Iran, Islamic Rep.",Turkey,2970.0
98,Angola,South Africa,1007.87
99,Angola,"Other Asia, nes",1410.79
100,Angola,China,3311.09
101,Angola,India,2676.34
102,Angola,Singapore,2092.49
103,Angola,France,1599.58
104,Angola,Spain,2245.98
105,Angola,Portugal,2783.12
106,Angola,United States,1720.3
107,South Africa,Germany,5016.5
108,South Africa,Japan,3137.24
109,South Africa,China,15673.29
110,South Africa,India,4221.33
111,South Africa,Namibia,4153.27
112,South Africa,United States,6026.47
113,"Other Asia, nes",Germany,8600.52
114,"Other Asia, nes",Japan,19253.78
115,"Other Asia, nes","Hong Kong, China",38016.51
116,"Other Asia, nes",China,44113.85
117,"Other Asia, nes","Korea, Rep.",13012.61
118,"Other Asia, nes",United States,26591.58
119,"Other Asia, nes",Singapore,17231.33
120,Singapore,Japan,19195.85
121,Singapore,"Hong Kong, China",41130.3
122,Singapore,China,42146.58
123,Singapore,Indonesia,29612.38
124,Singapore,Malaysia,38673.59
125,Singapore,"Other Asia, nes",24790.72
126,Singapore,United States,33519.8
127,France,Germany,79145.56
128,France,China,51871.36
129,France,United Kingdom,35002.77
130,France,Italy,41696.32
131,France,Spain,36022.04
132,France,United States,38775.1
133,France,Belgium,40813.16
134,Spain,Germany,30043.11
135,Spain,France,42853.03
136,Spain,China,26242.88
137,Spain,United Kingdom,20200.82
138,Spain,Italy,19097.26
139,Spain,Portugal,19815.31
140,Spain,United States,14225.07
141,Portugal,Germany,6523.79
142,Portugal,France,6689.07
143,Portugal,Netherlands,3418.52
144,Portugal,United Kingdom,3721.82
145,Portugal,Spain,22100.9
146,Portugal,Italy,3619.22
147,Portugal,United States,2846.87
148,Albania,Germany,288.36
149,Albania,Greece,338.88
150,Albania,Malta,88.95
151,Albania,China,369.41
152,Albania,"Serbia, FR(Serbia/Montenegro)",191.43
153,Albania,Italy,1308.87
154,Albania,Turkey,346.85
155,Albania,Spain,100.04
156,Germany,China,103334.23
157,Germany,France,113887.94
158,Germany,Netherlands,81541.85
159,Germany,United Kingdom,98358.59
160,Germany,Italy,54114.59
161,Germany,United States,69099.3
162,Greece,Germany,2058.15
163,Greece,Bulgaria,1416.12
164,Greece,China,2831.35
165,Greece,Russian Federation,3781.99
166,Greece,Iraq,3327.71
167,Greece,Italy,3710.27
168,Greece,Cyprus,1570.26
169,Greece,Turkey,1898.2
170,Malta,Germany,370.78
171,Malta,United Kingdom,464.87
172,Malta,"Hong Kong, China",190.36
173,Malta,"Egypt, Arab Rep.",517.56
174,Malta,Netherlands,487.11
175,Malta,France,265.87
176,Malta,Turkey,361.77
177,Malta,Bunkers,595.33
178,Malta,Italy,1443.05
179,"Serbia, FR(Serbia/Montenegro)",Germany,1672.59
180,"Serbia, FR(Serbia/Montenegro)",Romania,745.63
181,"Serbia, FR(Serbia/Montenegro)",Bosnia and Herzegovina,1172.06
182,"Serbia, FR(Serbia/Montenegro)",China,1540.21
183,"Serbia, FR(Serbia/Montenegro)",Russian Federation,724.83
184,"Serbia, FR(Serbia/Montenegro)",Italy,1922.45
185,"Serbia, FR(Serbia/Montenegro)",Hungary,866.92
186,Italy,Germany,56269.72
187,Italy,France,47291.42
188,Italy,China,31315.52
189,Italy,Netherlands,22813.52
190,Italy,United Kingdom,24783.06
191,Italy,Spain,20612.18
192,Italy,United States,39881.61
193,Turkey,Germany,14490.43
194,Turkey,Iraq,9966.66
195,Turkey,China,25283.73
196,Turkey,United Kingdom,10822.85
197,Turkey,Russian Federation,20744.05
198,Turkey,Italy,11342.85
199,Turkey,United States,11603.21
200,Andorra,Germany,41.21
201,Andorra,Norway,3.28
202,Andorra,"Hong Kong, China",2.61
203,Andorra,France,17.44
204,Andorra,China,49.41
205,Andorra,Italy,27.43
206,Andorra,Spain,827.39
207,Norway,Germany,18451.94
208,Norway,United Kingdom,20873.29
209,Norway,Sweden,8765.59
210,Norway,China,8049.03
211,Norway,France,6810.64
212,Norway,Netherlands,11406.82
213,Norway,United States,4929.43
214,"Hong Kong, China",Vietnam,9927.91
215,"Hong Kong, China",Japan,15945.6
216,"Hong Kong, China",China,261119.6
217,"Hong Kong, China",India,13272.85
218,"Hong Kong, China",Singapore,34574.83
219,"Hong Kong, China","Other Asia, nes",36271.79
220,"Hong Kong, China",United States,30950.72
221,Saudi Arabia,Germany,12305.29
222,Saudi Arabia,Japan,9949.2
223,Saudi Arabia,"Other Asia, nes",97106.11
224,Saudi Arabia,China,24654.97
225,Saudi Arabia,India,3213.24
226,Saudi Arabia,"Korea, Rep.",9939.76
227,Saudi Arabia,United Arab Emirates,7076.15
228,Saudi Arabia,United States,23968.68
229,Argentina,Germany,3128.71
230,Argentina,Chile,2404.53
231,Argentina,China,11827.02
232,Argentina,India,2003.2
233,Argentina,Mexico,1827.67
234,Argentina,Brazil,10098.3
235,Argentina,United States,7937.17
236,Chile,Germany,2371.86
237,Chile,China,14678.97
238,Chile,Brazil,3047.53
239,Chile,"Korea, Rep.",3993.19
240,Chile,Japan,5278.74
241,Chile,Argentina,2521.17
242,Chile,United States,11869.69
243,Mexico,Germany,13975.56
244,Mexico,Japan,17368.93
245,Mexico,China,69991.61
246,Mexico,"Korea, Rep.",14618.35
247,Mexico,Colombia,3666.95
248,Mexico,Brazil,3783.99
249,Mexico,United States,187308.13
250,Mexico,Canada,10520.83
251,Brazil,Germany,5170.62
252,Brazil,China,31999.01
253,Brazil,"Korea, Rep.",5650.22
254,Brazil,Argentina,10667.64
255,Brazil,Netherlands,7818.91
256,Brazil,United States,28020.95
257,Armenia,Germany,144.98
258,Armenia,China,315.47
259,Armenia,Iraq,130.69
260,Armenia,Russian Federation,225.87
261,Armenia,Georgia,114.03
262,Armenia,Italy,147.97
263,Armenia,"Iran, Islamic Rep.",198.3
264,Georgia,Bulgaria,214.25
265,Georgia,China,587.28
266,Georgia,Armenia,180.15
267,Georgia,Azerbaijan,538.64
268,Georgia,Russian Federation,162.89
269,Georgia,Turkey,186.8
270,Georgia,Ukraine,455.57
271,Antigua and Barbuda,United Kingdom,6.8
272,Antigua and Barbuda,Trinidad and Tobago,16.94
273,Antigua and Barbuda,China,20.52
274,Antigua and Barbuda,Grenada,1.13
275,Antigua and Barbuda,Spain,1.69
276,Antigua and Barbuda,United States,195.06
277,Antigua and Barbuda,Special Categories,73.84
278,Trinidad and Tobago,Gabon,1123.59
279,Trinidad and Tobago,Chile,382.63
280,Trinidad and Tobago,Peru,415.93
281,Trinidad and Tobago,China,659.25
282,Trinidad and Tobago,Colombia,487.52
283,Trinidad and Tobago,Argentina,720.78
284,Trinidad and Tobago,Russian Federation,453.29
285,Trinidad and Tobago,United States,2970.74
286,Grenada,United Kingdom,13.6
287,Grenada,Trinidad and Tobago,2.59
288,Grenada,China,10.45
289,Grenada,France,1.41
290,Grenada,Curaçao,17.52
291,Grenada,Netherlands,2.83
292,Grenada,United States,126.78
293,Australia,Japan,29826.96
294,Australia,Thailand,10197.01
295,Australia,China,46292.72
296,Australia,India,7946.61
297,Australia,"Korea, Rep.",13299.33
298,Australia,United States,22560.99
299,Japan,United Arab Emirates,23521.36
300,Japan,"Other Asia, nes",36960.99
301,Japan,"Hong Kong, China",35006.28
302,Japan,China,160559.7
303,Japan,"Korea, Rep.",44018.77
304,Japan,Australia,34791.62
305,Japan,United States,68347.46
306,Thailand,Japan,20054.88
307,Thailand,United Arab Emirates,8164.99
308,Thailand,"Hong Kong, China",11830.37
309,Thailand,China,41065.24
310,Thailand,Malaysia,10189.11
311,Thailand,United States,13958.72
312,"Korea, Rep.",Germany,20955.92
313,"Korea, Rep.",Vietnam,27770.75
314,"Korea, Rep.",Japan,25576.46
315,"Korea, Rep.","Hong Kong, China",30418.15
316,"Korea, Rep.",China,90248.76
317,"Korea, Rep.",Saudi Arabia,19561.49
318,"Korea, Rep.",United States,44208.11
319,Austria,Germany,42862.88
320,Austria,Switzerland,8362.17
321,Austria,China,8755.84
322,Austria,France,6349.54
323,Austria,Italy,8923.18
324,Austria,Czech Republic,6176.43
325,Austria,United States,9647.45
326,Switzerland,Germany,41122.9
327,Switzerland,United Kingdom,32197.97
328,Switzerland,"Hong Kong, China",25142.07
329,Switzerland,China,20129.87
330,Switzerland,India,21407.66
331,Switzerland,France,16582.92
332,Switzerland,Italy,19431.3
333,Switzerland,United States,20155.98
334,Czech Republic,Germany,50567.28
335,Czech Republic,Poland,9228.94
336,Czech Republic,Slovak Republic,7227.57
337,Czech Republic,China,18998.27
338,Czech Republic,United Kingdom,8371.82
339,Czech Republic,France,8044.96
340,Czech Republic,Italy,5720.7
341,Azerbaijan,Germany,1223.96
342,Azerbaijan,Russian Federation,1435.79
343,Azerbaijan,France,864.1
344,Azerbaijan,Italy,587.3
345,Azerbaijan,Turkey,1477.26
346,Azerbaijan,Israel,801.53
347,Azerbaijan,United States,845.45
348,Israel,Germany,3806.93
349,Israel,"Hong Kong, China",5312.54
350,Israel,China,5768.09
351,Israel,Switzerland,4426.08
352,Israel,United Kingdom,3992.38
353,Israel,United States,8089.17
354,Burundi,Kenya,13.43
355,Burundi,Tanzania,44.03
356,Burundi,Switzerland,22.52
357,Burundi,India,67.15
358,Burundi,China,70.54
359,Burundi,United Arab Emirates,14.49
360,Burundi,Saudi Arabia,35.53
361,Burundi,"Congo, Dem. Rep.",28.27
362,Burundi,Singapore,5.3
363,Kenya,Japan,898.44
364,Kenya,United Arab Emirates,922.19
365,Kenya,Uganda,697.12
366,Kenya,India,2571.15
367,Kenya,China,3266.49
368,Kenya,Pakistan,358.34
369,Kenya,United Kingdom,413.43
370,Kenya,Netherlands,427.39
371,Kenya,United States,1285.54
372,Tanzania,South Africa,675.38
373,Tanzania,United Arab Emirates,838.81
374,Tanzania,China,1853.93
375,Tanzania,India,1258.87
376,Tanzania,Oman,249.91
377,Tanzania,Saudi Arabia,5976.24
378,Tanzania,Kenya,793.89
379,Belgium,Germany,38432.76
380,Belgium,United Kingdom,20033.8
381,Belgium,France,39521.98
382,Belgium,Netherlands,30642.61
383,Belgium,United States,12893.9
384,Benin,Vietnam,46.63
385,Benin,Thailand,192.78
386,Benin,India,244.41
387,Benin,France,295.72
388,Benin,Togo,220.35
389,Benin,China,276.53
390,Benin,Malaysia,54.93
391,Benin,Niger,59.6
392,Benin,Singapore,49.05
393,Vietnam,Japan,14100.34
394,Vietnam,Thailand,8269.57
395,Vietnam,"Hong Kong, China",6959.27
396,Vietnam,China,49441.12
397,Vietnam,"Korea, Rep.",8915.38
398,Vietnam,"Other Asia, nes",10943.32
