,source,target,2012
0,Aruba,United Kingdom,68.02
1,Aruba,Curaçao,7.09
2,Aruba,Netherlands,144.58
3,Aruba,Colombia,68.14
4,Aruba,Paraguay,47.55
5,Aruba,United States,584.83
6,Aruba,Venezuela,50.74
7,United Kingdom,Germany,52046.68
8,United Kingdom,France,34477.02
9,United Kingdom,China,56267.4
10,United Kingdom,Netherlands,37848.61
11,United Kingdom,Ireland,25520.95
12,United Kingdom,United States,61329.45
13,Netherlands,Germany,136461.77
14,Netherlands,United Kingdom,44548.08
15,Netherlands,China,41012.72
16,Netherlands,France,46609.44
17,Netherlands,United States,33945.25
18,Netherlands,Belgium,62389.32
19,Colombia,Panama,2916.01
20,Colombia,China,9564.69
21,Colombia,Mexico,6362.18
22,Colombia,Brazil,2795.91
23,Colombia,Spain,2939.79
24,Colombia,Argentina,2312.51
25,Colombia,United States,14140.12
26,Colombia,Venezuela,2555.96
27,Paraguay,Switzerland,325.7
28,Paraguay,Germany,434.18
29,Paraguay,Brazil,2877.2
30,Paraguay,China,3183.81
31,Paraguay,Argentina,1369.94
32,Paraguay,Russian Federation,708.73
33,Paraguay,Italy,232.76
34,Paraguay,United States,1054.6
35,United States,Germany,109216.64
36,United States,Japan,69971.99
37,United States,Canada,292567.77
38,United States,China,425557.37
39,United States,Mexico,215875.04
40,United States,United Kingdom,54853.63
41,Venezuela,Chile,110.1
42,Venezuela,"Other Asia, nes",21959.36
43,Venezuela,Mexico,2414.92
44,Venezuela,Brazil,5316.53
45,Venezuela,China,10095.93
46,Venezuela,Netherlands,116.67
47,Venezuela,Colombia,2847.58
48,Venezuela,United States,14872.66
49,Afghanistan,Japan,600.5
50,Afghanistan,China,713.66
51,Afghanistan,India,69.71
52,Afghanistan,Pakistan,883.02
53,Afghanistan,"Iran, Islamic Rep.",26.61
54,Japan,United Arab Emirates,43989.64
55,Japan,"Other Asia, nes",46017.25
56,Japan,Thailand,43708.02
57,Japan,China,188500.37
58,Japan,"Korea, Rep.",61527.65
59,Japan,Saudi Arabia,54850.07
60,Japan,Australia,56449.99
61,Japan,United States,78216.4
62,China,Japan,151626.58
63,China,"Hong Kong, China",323445.33
64,China,Germany,69212.73
65,China,"Korea, Rep.",87673.76
66,China,China,142929.91
67,China,"Other Asia, nes",132199.34
68,China,United States,133765.82
69,India,United Arab Emirates,35781.39
70,India,"Hong Kong, China",11940.4
71,India,China,54140.46
72,India,Switzerland,28718.21
73,India,Saudi Arabia,32826.64
74,India,United States,24105.44
75,India,Singapore,13552.71
76,Pakistan,United Arab Emirates,2872.87
77,Pakistan,China,6687.57
78,Pakistan,Afghanistan,2099.28
79,Pakistan,Malaysia,2131.98
80,Pakistan,Kuwait,4208.85
81,Pakistan,United Kingdom,1247.44
82,Pakistan,Saudi Arabia,4283.52
83,Pakistan,United States,3668.51
84,Angola,South Africa,1535.78
85,Angola,"Other Asia, nes",4699.8
86,Angola,China,3457.05
87,Angola,India,6932.06
88,Angola,Singapore,2212.48
89,Angola,Portugal,5378.24
90,Angola,United States,2416.21
91,Angola,Canada,3519.98
92,South Africa,Botswana,5047.38
93,South Africa,Germany,10237.64
94,South Africa,Japan,5689.31
95,South Africa,China,14617.72
96,South Africa,Saudi Arabia,7938.69
97,South Africa,United States,7490.03
98,"Other Asia, nes",Japan,18955.01
99,"Other Asia, nes","Hong Kong, China",37857.54
100,"Other Asia, nes",China,40960.33
101,"Other Asia, nes","Korea, Rep.",15098.31
102,"Other Asia, nes",Saudi Arabia,14798.31
103,"Other Asia, nes",United States,23876.92
104,"Other Asia, nes",Singapore,20049.68
105,Singapore,"Hong Kong, China",46312.28
106,Singapore,China,39691.55
107,Singapore,"Korea, Rep.",25931.35
108,Singapore,Indonesia,44995.48
109,Singapore,Malaysia,51567.8
110,Singapore,"Other Asia, nes",25300.65
111,Singapore,United States,38690.42
112,Portugal,Germany,7195.07
113,Portugal,Angola,3843.28
114,Portugal,France,6881.66
115,Portugal,Netherlands,3470.44
116,Portugal,United Kingdom,3068.46
117,Portugal,Spain,23086.45
118,Portugal,Italy,3770.68
119,Canada,Germany,14310.17
120,Canada,Japan,10350.58
121,Canada,China,50764.77
122,Canada,Mexico,5391.28
123,Canada,United Kingdom,18776.32
124,Canada,United States,234075.81
125,Albania,Germany,295.03
126,Albania,Greece,462.99
127,Albania,China,310.15
128,Albania,"Serbia, FR(Serbia/Montenegro)",175.67
129,Albania,Italy,1555.32
130,Albania,Turkey,124.38
131,Albania,Spain,181.92
132,Germany,China,102604.82
133,Germany,France,131280.19
134,Germany,Netherlands,87674.61
135,Germany,United Kingdom,90864.92
136,Germany,Italy,61412.09
137,Germany,United States,67352.26
138,Greece,Germany,2242.08
139,Greece,Bulgaria,1944.93
140,Greece,China,2944.65
141,Greece,Russian Federation,7732.95
142,Greece,Italy,4890.95
143,Greece,Bunkers,2162.98
144,Greece,Saudi Arabia,3437.69
145,Greece,Turkey,3795.32
146,"Serbia, FR(Serbia/Montenegro)",Germany,1308.6
147,"Serbia, FR(Serbia/Montenegro)",Romania,904.59
148,"Serbia, FR(Serbia/Montenegro)",Bosnia and Herzegovina,1074.73
149,"Serbia, FR(Serbia/Montenegro)",China,1385.48
150,"Serbia, FR(Serbia/Montenegro)",Russian Federation,866.2
151,"Serbia, FR(Serbia/Montenegro)",Italy,1829.13
152,"Serbia, FR(Serbia/Montenegro)",Hungary,933.16
153,Italy,Germany,62768.61
154,Italy,Switzerland,29463.37
155,Italy,France,55577.46
156,Italy,China,32162.56
157,Italy,Netherlands,26423.96
158,Italy,United Kingdom,24367.37
159,Italy,Russian Federation,23564.32
160,Italy,United States,34246.96
161,Turkey,Germany,13124.37
162,Turkey,Iraq,10822.14
163,Turkey,China,21295.24
164,Turkey,United Arab Emirates,8174.61
165,Turkey,United Kingdom,8693.6
166,Turkey,Russian Federation,26625.29
167,Turkey,Italy,13344.47
168,Turkey,"Iran, Islamic Rep.",9921.6
169,Turkey,United States,14130.63
170,Spain,Germany,30687.96
171,Spain,France,47017.18
172,Spain,China,22898.49
173,Spain,Netherlands,14516.44
174,Spain,United Kingdom,18309.89
175,Spain,Italy,20756.51
176,Spain,Portugal,20346.18
177,Andorra,Germany,50.64
178,Andorra,Norway,6.23
179,Andorra,"Hong Kong, China",4.03
180,Andorra,Switzerland,4.74
181,Andorra,France,18.12
182,Andorra,China,52.69
183,Andorra,Spain,863.78
184,Andorra,Italy,33.68
185,Norway,Germany,19279.13
186,Norway,United Kingdom,42622.02
187,Norway,Sweden,11821.43
188,Norway,Denmark,5420.21
189,Norway,China,8077.56
190,Norway,France,10111.05
191,Norway,Netherlands,19709.8
192,"Hong Kong, China",Japan,18567.23
193,"Hong Kong, China","Other Asia, nes",31625.93
194,"Hong Kong, China",China,251996.21
195,"Hong Kong, China",India,11057.07
196,"Hong Kong, China",Singapore,34614.82
197,"Hong Kong, China",United States,33400.31
198,Switzerland,Germany,46777.57
199,Switzerland,United Arab Emirates,17023.04
200,Switzerland,India,30626.69
201,Switzerland,France,23400.09
202,Switzerland,United Kingdom,30157.45
203,Switzerland,Italy,27704.09
204,Switzerland,United States,25438.77
205,France,Germany,92316.94
206,France,China,53458.27
207,France,United Kingdom,37689.54
208,France,Italy,48213.98
209,France,Spain,37799.12
210,France,United States,42557.36
211,France,Belgium,40969.19
212,United Arab Emirates,Japan,13678.16
213,United Arab Emirates,"Other Asia, nes",97371.18
214,United Arab Emirates,India,25533.3
215,United Arab Emirates,Switzerland,18018.6
216,United Arab Emirates,China,31897.62
217,United Arab Emirates,"Iran, Islamic Rep.",16208.73
218,United Arab Emirates,United States,23561.6
219,Argentina,Germany,3698.23
220,Argentina,Chile,5051.83
221,Argentina,China,9900.61
222,Argentina,Mexico,2250.81
223,Argentina,Brazil,16456.67
224,Argentina,Spain,2514.56
225,Argentina,United States,8476.1
226,Chile,China,14436.4
227,Chile,Brazil,4291.73
228,Chile,"Korea, Rep.",4525.5
229,Chile,Japan,8326.66
230,Chile,Argentina,5284.22
231,Chile,United States,18472.42
232,Mexico,Germany,13507.76
233,Mexico,Japan,17655.21
234,Mexico,China,56936.12
235,Mexico,"Korea, Rep.",13340.97
236,Mexico,Brazil,5657.55
237,Mexico,Spain,7023.93
238,Mexico,United States,185683.87
239,Mexico,Canada,10927.23
240,Brazil,Germany,14718.63
241,Brazil,China,36467.43
242,Brazil,"Korea, Rep.",9628.99
243,Brazil,Japan,7954.95
244,Brazil,Argentina,16997.93
245,Brazil,Netherlands,13385.97
246,Brazil,United States,34234.74
247,Armenia,Germany,153.01
248,Armenia,Bulgaria,129.29
249,Armenia,China,397.1
250,Armenia,Russian Federation,277.87
251,Armenia,Turkey,213.11
252,Armenia,"Iran, Islamic Rep.",94.21
253,Armenia,Belgium,127.17
254,Armenia,Ukraine,215.85
255,Bulgaria,Germany,2730.66
256,Bulgaria,Romania,2137.84
257,Bulgaria,Greece,1981.33
258,Bulgaria,Russian Federation,6809.68
259,Bulgaria,Italy,2165.6
260,Bulgaria,Turkey,2510.92
261,Russian Federation,Germany,24039.17
262,Russian Federation,Japan,15676.09
263,Russian Federation,China,51767.69
264,Russian Federation,Italy,28007.57
265,Russian Federation,Netherlands,76036.01
266,Russian Federation,United States,15505.3
267,Russian Federation,Ukraine,17955.44
268,Belgium,Germany,49927.72
269,Belgium,United Kingdom,20652.2
270,Belgium,France,47462.41
271,Belgium,Netherlands,40364.06
272,Belgium,United States,13011.15
273,Ukraine,Germany,6807.07
274,Ukraine,Poland,2576.2
275,Ukraine,China,7899.58
