,source,target,2006
0,Aruba,United Kingdom,38.45
1,Aruba,Panama,25.83
2,Aruba,Netherlands Antilles,33.14
3,Aruba,Netherlands,34.19
4,Aruba,Colombia,12.74
5,Aruba,United States,560.74
6,Aruba,Venezuela,11.5
7,United Kingdom,Germany,51279.14
8,United Kingdom,France,54587.6
9,United Kingdom,China,41828.38
10,United Kingdom,Netherlands,31092.03
11,United Kingdom,Ireland,32227.17
12,United Kingdom,United States,53490.01
13,Panama,Netherlands Antilles,496.99
14,Panama,Guatemala,444.85
15,Panama,China,2102.23
16,Panama,Colombia,1284.79
17,Panama,"Other Asia, nes",719.96
18,Panama,"Hong Kong, China",1278.19
19,Panama,United States,2030.44
20,Panama,Venezuela,1578.78
21,Panama,Dominican Republic,420.34
22,Netherlands Antilles,Japan,33.4
23,Netherlands Antilles,Netherlands,29.82
24,Netherlands Antilles,Venezuela,8.35
25,Netherlands Antilles,Panama,35.14
26,Netherlands Antilles,United States,378.77
27,Netherlands Antilles,Aruba,13.7
28,Netherlands,Germany,99146.67
29,Netherlands,United Kingdom,35714.63
30,Netherlands,China,28903.83
31,Netherlands,France,33023.34
32,Netherlands,United States,29846.02
33,Netherlands,Belgium,49767.76
34,Colombia,Mexico,2290.57
35,Colombia,Brazil,1884.88
36,Colombia,Peru,692.05
37,Colombia,China,2219.27
38,Colombia,Venezuela,2701.73
39,Colombia,United States,6960.61
40,Colombia,Ecuador,1237.08
41,Colombia,Dominican Republic,583.4
42,United States,Germany,91215.23
43,United States,Japan,59647.55
44,United States,Canada,230244.13
45,United States,China,305778.88
46,United States,Mexico,134127.53
47,United States,United Kingdom,45391.8
48,Venezuela,Netherlands Antilles,3516.8
49,Venezuela,"Other Asia, nes",2242.26
50,Venezuela,Brazil,2456.6
51,Venezuela,China,1652.37
52,Venezuela,Spain,1914.19
53,Venezuela,Colombia,2420.7
54,Venezuela,United States,7393.29
55,Anguila,Guyana,5.63
56,Anguila,Japan,5.77
57,Anguila,Netherlands Antilles,6.24
58,Anguila,Trinidad and Tobago,24.43
59,Anguila,United Kingdom,0.97
60,Anguila,France,0.09
61,Anguila,United States,98.65
62,Guyana,United Kingdom,115.72
63,Guyana,Netherlands Antilles,35.95
