,source,target,1994
0,Argentina,Germany,1382.38
1,Argentina,Chile,998.81
2,Argentina,France,1072.14
3,Argentina,Brazil,3654.81
4,Argentina,Italy,1431.12
5,Argentina,Netherlands,1179.55
6,Argentina,United States,4928.28
7,Germany,United Kingdom,34258.22
8,Germany,France,51329.4
9,Germany,Netherlands,32617.96
10,Germany,Italy,32085.83
11,Germany,United States,27591.67
12,Chile,Germany,506.5
13,Chile,Japan,1972.09
14,Chile,Brazil,616.66
15,Chile,"Korea, Rep.",594.49
16,Chile,Argentina,954.7
17,Chile,United States,2637.86
18,France,Germany,39974.72
19,France,United Kingdom,23112.4
20,France,Belgium-Luxembourg,20791.07
21,France,Italy,22999.65
22,France,Spain,16691.71
23,France,United States,19476.21
24,Brazil,Germany,2048.82
25,Brazil,Japan,2586.07
26,Brazil,Argentina,3828.39
27,Brazil,Italy,2066.48
28,Brazil,Netherlands,3077.1
29,Brazil,United States,8202.66
30,Italy,Germany,36119.16
31,Italy,United Kingdom,12337.39
32,Italy,Switzerland,8254.95
33,Italy,France,24851.6
34,Italy,Netherlands,9591.46
35,Italy,Spain,8920.77
36,Italy,United States,14744.63
37,Netherlands,Germany,38267.22
38,Netherlands,United Kingdom,12533.84
39,Netherlands,Belgium-Luxembourg,14690.32
40,Netherlands,France,13978.89
41,Netherlands,United States,10267.98
42,Netherlands,Special Categories,13282.92
43,United States,Germany,19226.24
44,United States,Japan,53453.45
45,United States,Canada,114253.03
46,United States,Mexico,50834.16
47,United States,China,41345.78
48,United States,United Kingdom,26831.62
49,Australia,Germany,2946.36
50,Australia,United Kingdom,2948.08
51,Australia,Japan,10921.61
52,Australia,New Zealand,2444.7
53,Australia,"Korea, Rep.",3075.31
54,Australia,United States,10848.51
55,United Kingdom,Germany,23707.85
56,United Kingdom,Japan,13176.75
57,United Kingdom,Belgium-Luxembourg,10224.33
58,United Kingdom,France,18719.52
59,United Kingdom,Netherlands,13442.89
60,United Kingdom,United States,23538.58
61,Japan,"Other Asia, nes",23780.2
62,Japan,"Hong Kong, China",25712.89
63,Japan,"Korea, Rep.",24317.73
64,Japan,China,27483.6
65,Japan,Australia,13641.65
66,Japan,United States,63288.2
67,Japan,Indonesia,12923.62
68,Japan,Singapore,19596.31
69,New Zealand,Germany,542.56
70,New Zealand,United Kingdom,734.9
71,New Zealand,Japan,1867.6
72,New Zealand,"Korea, Rep.",585.69
73,New Zealand,Australia,2558.37
74,New Zealand,United States,2279.82
75,"Korea, Rep.",Germany,4313.47
76,"Korea, Rep.",Japan,13522.83
77,"Korea, Rep.","Hong Kong, China",8014.71
78,"Korea, Rep.",China,5462.7
79,"Korea, Rep.",Saudi Arabia,3815.52
80,"Korea, Rep.",United States,21598.59
81,Austria,Germany,17177.4
82,Austria,Japan,2366.45
83,Austria,Switzerland,2868.97
84,Austria,France,2051.41
85,Austria,Italy,4881.82
86,Austria,United States,2418.58
87,Austria,Hungary,1763.72
88,Switzerland,Germany,16157.71
89,Switzerland,United Kingdom,4566.88
90,Switzerland,France,6192.71
91,Switzerland,Italy,6705.99
92,Switzerland,United States,4497.97
93,Hungary,Germany,3017.45
94,Hungary,United Kingdom,464.74
95,Hungary,Russian Federation,807.04
96,Hungary,Italy,1017.55
97,Hungary,Austria,1163.88
98,Burundi,Germany,10.23
99,Burundi,Japan,15.09
100,Burundi,Belgium-Luxembourg,28.06
101,Burundi,Switzerland,33.03
102,Burundi,France,23.8
103,Burundi,United Kingdom,27.96
104,Burundi,"Iran, Islamic Rep.",15.36
105,Belize,United Kingdom,43.42
106,Belize,Netherlands Antilles,14.51
107,Belize,Mexico,11.91
108,Belize,France,3.84
109,Belize,Guatemala,8.8
110,Belize,United States,138.45
111,Belize,Canada,10.23
112,Mexico,Germany,3099.71
113,Mexico,Japan,923.3
114,Mexico,Canada,1530.74
115,Mexico,France,426.19
116,Mexico,Spain,869.79
117,Mexico,United States,54812.85
118,Guatemala,Germany,104.84
119,Guatemala,Mexico,67.17
120,Guatemala,El Salvador,228.97
121,Guatemala,Costa Rica,97.61
122,Guatemala,Venezuela,137.24
123,Guatemala,Honduras,87.02
124,Guatemala,United States,1169.0
