,source,target,2019
0,Aruba,Curaçao,13.44
1,Aruba,China,43.22
2,Aruba,Netherlands,6.41
3,Aruba,Panama,38.43
4,Aruba,United States,698.27
5,Aruba,Venezuela,14.05
6,China,Vietnam,97868.88
7,China,Japan,143244.52
8,China,"Hong Kong, China",278825.3
9,China,"Korea, Rep.",110974.41
10,China,China,129792.2
11,China,"Other Asia, nes",173013.7
12,China,United States,123792.11
13,Netherlands,Germany,128001.85
14,Netherlands,United Kingdom,44606.96
15,Netherlands,China,48168.52
16,Netherlands,France,45054.67
17,Netherlands,United States,41772.67
18,Netherlands,Belgium,58276.37
19,Panama,Mexico,901.43
20,Panama,Costa Rica,707.47
21,Panama,Singapore,858.98
22,Panama,China,4633.95
23,Panama,Colombia,866.89
24,Panama,Free Zones,3020.1
25,Panama,United States,3973.17
26,Panama,Dominican Republic,562.24
27,United States,Germany,129857.18
28,United States,Japan,74650.66
29,United States,Canada,292338.43
30,United States,China,472464.91
31,United States,Mexico,256371.09
32,United States,United Kingdom,69100.92
33,Afghanistan,China,1192.43
34,Afghanistan,India,410.14
35,Afghanistan,Turkmenistan,690.21
36,Afghanistan,United Arab Emirates,24.94
37,Afghanistan,Pakistan,1102.99
38,Afghanistan,"Iran, Islamic Rep.",1247.17
39,Afghanistan,Turkey,25.15
40,Afghanistan,United States,783.75
41,India,United Arab Emirates,29539.36
42,India,"Hong Kong, China",11478.4
43,India,China,68402.09
44,India,Iraq,22085.02
45,India,Saudi Arabia,27000.12
46,India,United States,34917.97
47,India,Singapore,10738.69
48,United Arab Emirates,Japan,12615.92
49,United Arab Emirates,India,26738.17
50,United Arab Emirates,Switzerland,13656.28
51,United Arab Emirates,Iraq,13740.73
52,United Arab Emirates,Saudi Arabia,24004.59
53,United Arab Emirates,China,40781.29
54,United Arab Emirates,United States,20020.6
55,Pakistan,United Arab Emirates,6330.49
56,Pakistan,China,12406.4
57,Pakistan,Germany,1340.87
58,Pakistan,Afghanistan,1180.11
59,Pakistan,United Kingdom,1677.36
60,Pakistan,Saudi Arabia,2436.31
61,Pakistan,United States,2611.0
62,Pakistan,Indonesia,2218.99
