,source,target,2005
0,Aruba,United Kingdom,39.47
1,Aruba,Panama,17.77
2,Aruba,Netherlands Antilles,27.55
3,Aruba,Netherlands,35.58
4,Aruba,Colombia,12.68
5,Aruba,Venezuela,10.74
6,Aruba,United States,572.97
7,United Kingdom,Germany,41794.21
8,United Kingdom,France,36467.38
9,United Kingdom,China,36153.93
10,United Kingdom,Netherlands,22950.37
11,United Kingdom,Ireland,29981.71
12,United Kingdom,United States,44128.28
13,Panama,Sweden,54.26
14,Panama,Japan,188.22
15,Panama,Netherlands Antilles,475.19
16,Panama,Costa Rica,193.78
17,Panama,Spain,85.65
18,Panama,Netherlands,47.03
19,Panama,United States,1143.02
20,Netherlands Antilles,Japan,26.78
21,Netherlands Antilles,Netherlands,27.45
22,Netherlands Antilles,Venezuela,5.22
23,Netherlands Antilles,Panama,30.77
24,Netherlands Antilles,United States,337.6
25,Netherlands Antilles,Aruba,15.75
26,Netherlands,Germany,83272.32
27,Netherlands,United Kingdom,32219.56
28,Netherlands,China,23690.32
29,Netherlands,France,32004.65
30,Netherlands,Italy,20007.5
31,Netherlands,United States,24457.6
32,Netherlands,Belgium,40914.7
33,Colombia,Mexico,610.93
34,Colombia,Brazil,1383.39
35,Colombia,Peru,710.09
36,Colombia,China,1616.82
37,Colombia,Venezuela,2097.59
38,Colombia,United States,6033.24
39,Colombia,Ecuador,1324.41
40,Venezuela,Netherlands Antilles,1970.04
41,Venezuela,"Other Asia, nes",2612.43
42,Venezuela,Mexico,1514.75
43,Venezuela,Brazil,1988.68
44,Venezuela,Colombia,2409.19
45,Venezuela,Panama,847.58
46,Venezuela,United States,6897.45
47,United States,Germany,86873.02
48,United States,Japan,54679.31
49,United States,Canada,211895.29
50,United States,China,259836.02
51,United States,Mexico,120246.88
52,United States,United Kingdom,38560.83
53,Albania,Germany,21.9
54,Albania,Greece,429.98
55,Albania,China,172.74
56,Albania,"Serbia, FR(Serbia/Montenegro)",32.65
57,Albania,Italy,766.62
58,Albania,Turkey,11.33
59,Germany,United Kingdom,75160.0
60,Germany,France,98354.82
61,Germany,China,50594.71
62,Germany,Netherlands,60942.95
63,Germany,Italy,67002.33
64,Germany,United States,51928.02
65,Greece,Germany,2172.0
66,Greece,France,3145.9
67,Greece,Bulgaria,1014.02
68,Greece,Netherlands,3023.37
69,Greece,United Kingdom,1169.8
70,Greece,Russian Federation,4220.55
71,Greece,Italy,6732.14
72,Greece,Turkey,935.84
73,China,Japan,83986.28
74,China,"Hong Kong, China",124473.25
75,China,Germany,32527.13
76,China,"Korea, Rep.",35107.78
77,China,China,55162.9
78,China,"Other Asia, nes",74680.43
79,China,United States,48741.36
80,Italy,Germany,48806.61
81,Italy,France,45522.11
82,Italy,China,17565.32
